,essay_id,essay_set,essay,rater1_domain1,rater2_domain1,rater3_domain1,domain1_score,rater1_domain2,rater2_domain2,domain2_score,total_score
7079,11827,5,"In this memoir of Narciso Rodriguez, @PERSON's life, the mood containing it all, was greatful, and showed how his parents gave him love through his whole life. Both his parents were born and raised in Cuba, and in 1956, they both moved to the United States. Starting their lives over again, and taking any job they could find. Then in 1961, @PERSON, @CAPS. was born. Both Parents raised him with love, and care, and introducing his Cuban background into his life.        As @PERSON, was telling his story, all readers could tell how greatful he was to have a family like he did. Also, as he shared his non- blood related family, and the remembrence on how his parents' life changed by moving to @LOCATION, he showed the respect he had towards them.",2,2,0.0,2,0.0,0.0,0.0,2.0
7080,11828,5,"Throughout the excerpt from Home the Blueprints of Our Lives, Narciso Rodriguez, the author, manages to maintain a single overall mood. In many parts of the story he tells about how much he loved his childhood so it lead me to think was nostalgia, but nowhere does it emphasize that he yearns to return to past times. He always declared how loving and selfless his family was, how they aided others, and how he became"" family"" with his neighbors. Due to this I have found the tone to be, loving and admiring towards his parents. This is so due to the fact that he states how his parents were so brave to leave their lives in Cuba behind just so he could have a better life. Narciso Rodriguez also remarks numerous times on how his parents helped so many in need. If in Rodriguez's position I would love and admire my parents just as much, if not more, for their selfless deeds and upbringing of their son.",2,2,0.0,2,0.0,0.0,0.0,2.0
7081,11829,5,"The mood the author created in the memoir is love. the author finds out that family doesn't have to be blood related. In the author's neighborhood ""despite customs elsewhere, all of these cultures came together in solidarity and friendship"" (@NUM). The author loves thier parents because they came ""as many immagrants do, to give their children a better life"" (@NUM). The author is very greatful that her parents ""Mother and father had come to this country with such courage, without any knowledge of the language or the culture"" (@NUM). The author's parents gave him a great life by moving to @LOCATION and ""turned this simple house into a @NUM).",3,3,0.0,3,0.0,0.0,0.0,3.0
7082,11830,5,The mood created by the author is showing how cuban's lived and about Their cultra and how they lived and some people from other cultra's could be diffrent and don't @CAPS cared about their cultra's and some people do care about their cultra like narciso parents. that is what the author is trying to say. and that some people should respect their cultra and not @CAPS To be a different cultra.,1,0,0.0,1,0.0,0.0,0.0,1.0
7083,11831,5,"The mood created in the memoir is happiness and gratitude. Narciso is grateful of his parents for moving to @LOCATION, and still give him warm happy feeling of a house in Cuba. His parents passed down their culture to him and he is happy that they did. Narciso is glad to have lived in the home that they did, and all the opertunities that he had as a child. He is grateful that his family always got together and had a feast with cuban music, activities, and food. His parents gave up their jobs and had to Start their lives over entirely. Narciso is also grateful that he learned the real definition of ""family"". He is also very grateful to his parents for their love and sacrifice.",2,3,0.0,3,0.0,0.0,0.0,3.0
7084,11832,5,"The mood definitely helps you feel and comprehend the story better. The mood is a mixture of both happy and sad because of the way the author states his ideas. For example, the sentence ""I will never forget how my parents turned this simple house into a home"" makes me feel sad because he grew up and everything is just memories now but he keeps those happy memories. Most of other ideas like ""I will be grateful to my parents for their love and sacrifice"" also carry the same reasons for being happy or sad. However statements like ""My mother and father came to this country with such courage, without any knowledge of the language or the culture"" makes me feel happy that his parents were so determind. Overall the main idea is remembering the good and bad times of his life and the mood for this idea is happy/sad.",2,3,0.0,3,0.0,0.0,0.0,3.0
7085,11833,5,"In Narciso Rodriguez's memoir from ""Home: The Blueprints of Our Lives"" he/she incorporated love and passion into the mood. You can tell this by how fondly and strongly Narciso talks about some things. ""Here, the innocence of childhood, the congregation of family and friends, and endless celebrations that encompassed both, formed the backdrop to life in our warm houses."" In this one sentence alone, you could feel Narciso's passion and love for this home of the their's. Narciso puts a great deal of love and thankfulness into paragraph @NUM and @NUM when talking about his/her parents. ""It was here where I learned the real definition of 'family'... I will never forget how my parents turned the simple house into a home."" These two sentences are most likely the strongest in Narciso's memoir, these two are also the ones filled with the most passion and meaning. As you can see, in Narciso Rodriguez's memoir from ""Home: The Blueprints of Our Lives"", the mood Narciso puts in it is love and passion. ",3,3,0.0,3,0.0,0.0,0.0,3.0
7086,11834,5,"In the excerpt the mood created by the author is love. Love for family and love for each other. The author talks about his parents in a loving and respectful way, ""I will never forget how my parents turned this simple house into a home."" The author discribes all his parents went through to make their own and his life better. In doing so they turned an apartment into a place of love and caring that he will never forget and more importantly passed this love onto him. The author also talks about his ""family"" and the love shared between them, ""My parents always kept their arms and their door open to the many people we considered family..."" The author's ""family"" wasn't completely blood related. Many people were friends but very close friends that hav become like family and were always welcomed. Finally, the author talks about his community, ""In our neighborhood, despite customs elsewhere, all these cultures came together in great solidarity and friendship."" No matter what nationality they were the comunity was very close together and understanding. It was these basic principles of friendship, trust, love, and caring that were passed onto the author of this excerpt by a varity of people and give the excerpt a mood of love.",4,4,0.0,4,0.0,0.0,0.0,4.0
7087,11835,5,"The mood created by the author in the memoir is grateful and fortunate. Narciso Rodriguez talks about being so fortunate to have his parents and his heritage of being Cuban. From paragraph @NUM, ""I will always be grateful to my parents for their love and sacrifice."" @CAPS is saying that @CAPS was so happy and lucky to have his parents as parents which is the main mood of the memoir.Another mood created by Narciso Rodriguez in his memoir is happiness. @CAPS makes the story happy by saying how great it was to grow up with his family. @CAPS also says that his family was a lot of people in his neighborhood as well. @CAPS is happy to have a great family. From paragraph @NUM, ""Here, the innocence of childhood, the congregation family and friends, and endless celebrations that encompassed both, formed the backdrop to life in our warm home.""@CAPS are two moods created by Rodriguez in his memoir.",3,3,0.0,3,0.0,0.0,0.0,3.0
7088,11836,5,"The author generally stayed in one mood. The mood portrayed in the story was family and friends are very important and they help what you will be in the future. This is why the author stressed how thankful he was that his family had come to @LOCATION to make him a better life and that his friends came over to share their culture. Also the author was saying that even in @LOCATION it was important to remember his cuban blood and culture. This is why he says ""...and a love of cooking that is still with me today (and for which I am eternally grateful). Passionate cuban music (which I adore to this day) filled the air, mixing with the aromas, of the kitchen."" Also the author say's that a home is where geat memeries are and were you grow up, you should never forget it.",3,3,0.0,3,0.0,0.0,0.0,3.0
7089,11837,5,"The mood that the author creates in this story is a @CAPS sad mood But it is also @CAPS, @CAPS the guy in it is getting a new Home and a new Life @CAPS His parents @CAPS @CAPS.",1,1,0.0,1,0.0,0.0,0.0,1.0
